#	Гэрээний нэр	Эрдсийн төрөл	Гэрээний төрөл	Гэрээ байгуулсан огноо	Баримт бичгийн төрөл	Гэрээ байгуулсан төрийн байгууллага	Компанийн нэр	Төслийн нэр	Гэрээний файл	OCID	Аннотацийн текст	Метадата текст
271.	Нийгмийн хариуцлагын гэрээ	Барилгын Материал;	Орон нутагтай хамтран ажиллах гэрээ	2022-04-11	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ, СУМЫН ЗАСАГ ДАРГА, ААН;	Зөөлөн ресурс			ocds-591adf-MN9449176394RC		
272.	Нийгмийн хариуцлагын гэрээ	Шаварлаг шороо;	Орон нутагтай хамтран ажиллах гэрээ	2022-04-11	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ,;	Дийпсурвэй			ocds-591adf-MN7175157481RC		
273.	Хамтын ажиллагааны гэрээ	Хайлуур Жонш;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Мөнххаан сумын ЗДТГ;	Хунт-Өгөөж ХХК			ocds-591adf-MN5508642934RC		
274.	Хамтын ажиллагааны гэрээ	Хүрэн Нүүрс;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ, Асгат сумын ЗДТГ;	Дорнын чулуулаг ХХК	Дорнын чулуулаг ХХК		ocds-591adf-MN8498779513RC		
275.	Хамтын ажиллагааны гэрээ	Хүрэн Нүүрс;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Эрдэнэцагаан сумын ЗДТГ;	Бадмаараг Хаш ХХК			ocds-591adf-MN1842371472RC		
276.	Хамтын ажиллагааны гэрээ	Хайлуур Жонш;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ;	Кинзроуд ХХК			ocds-591adf-MN8492035223RC		
277.	Хамтын ажиллагааны гэрээ	Хүрэн Нүүрс;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ;	Олгой булаг ХХК			ocds-591adf-MN7369574410RC		
278.	Хамтын ажиллагааны гэрээ	Төмрийн Хүдэр;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-28	Загвар гэрээ	Сүхбаатар аймгийн ЗДТГ, Сүхбаатар сумын ЗДТГ;	Каскайд майнинг			ocds-591adf-MN4328596678RC		
279.	Нийгмийн хариуцлагын гэрээ	Шаварлаг шороо;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-04	Гэрээ	ГОВЬ-АЛТАЙ АЙМГИЙН ЗДТГ, СУМЫН ЗАСАГ ДАРГА, ААН;	БОРОЛЗОЙ			ocds-591adf-MN5054553566RC		
280.	БАЙГАЛЬ ОРЧНЫГ ХАМГААЛАХ, УУРХАЙ АШИГЛАХ, ҮЙЛДВЭР БАЙГУУЛАХТАЙ ХОЛБОГДСОН ДЭД БҮТЦИЙГ ХӨГЖҮҮЛЭХ, АЖЛЫН БАЙР НЭМЭГДҮҮЛЭХ ТУХАЙ ГЭРЭЭ	Алт;	Орон нутагтай хамтран ажиллах гэрээ	2022-03-01	Нийгмийн гэрээ	Баян-Өлгий аймгийн Цэнгэл сумын Засаг даргын Тамгын газар;	Эс Жи Групп ХХК	Цагаан овоот уул		ocds-591adf-MN9756011643RC		
