#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
920,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2017-04-18,Contract,,,Малзын ягаан-1 талбайд бичил уурхайгаар алт олборлох,,ocds-591adf-MN1795933987RC,,
921,Дорноговь аймгийн Өргөн сум болон Монцемент билдинг материалс ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2017-04-18,Contract,,,,,ocds-591adf-MN2138402482RC,,
922,Бичил уурхайгаар ашигт малтмал олборлох гэрээ,,,2017-04-18,Contract,,,"Цагаан овоо, Малзын овоо нэртэй газар бичил уурхайгаар алт олборлох",,ocds-591adf-MN0902904951RC,,
923,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2017-04-18,Contract,,,,,ocds-591adf-MN4823350955RC,,
924,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Өсөх зоос ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-04-17,Contract,,,,,ocds-591adf-MN1109481596RC,,
925,"БОАЖЯ, АМГТГ, МХЕГ, Дархан-Уул  аймаг болон Хатантүшиг трейд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2017-04-13,Contract,,,"Шаазгайт, Жалга 1, 2 алтны шороон орд",,ocds-591adf-MN3364685130RC,,
926,"Галба-Өөш, Долоодын говийн сав газрын захиргаа болон Ухаа худаг ус хангамж ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-04-04,Contract,,,,,ocds-591adf-MN8670287787RC,,
927,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Чинхуа-мак-нарийн сухайт ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-04-03,Contract,,,,,ocds-591adf-MN4988580420RC,,
928,Завхан аймгийн Улиастай сум болон Баян Айраг Эксплорэйшн ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-04-03,Contract,,,,,ocds-591adf-MN6569233326RC,,
929,Төв аймгийн Заамар сум болон Жи Кэй Эм Кэй ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-31,Contract,,,,,ocds-591adf-MN6375802959RC,,
930,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 108.6 га,,,2017-03-31,Contract,,,,,ocds-591adf-MN3408026842RC,,
931,Хараа Ерөө сав газрын захиргаа болон Монвольфрам ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-03-31,Contract,,,,,ocds-591adf-MN1493214945RC,,
932,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Эф Жи Пи Эм"" ХХК]",,,2017-03-31,Contract,,,,,ocds-591adf-MN2932872397RC,,
933,Төв аймгийн Баянчандмань сум болон Монвольфрам ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-03-29,Contract,,,,,ocds-591adf-MN2089610850RC,,
934,"Өмнөговь аймгийн Байгаль орчин, аялал жуулчлалын газар болон Энержи ресурс ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-03-29,Contract,,,,,ocds-591adf-MN7997259207RC,,
935,Туул голын сав газрын захиргааны ус ашиглалтыг зохицуулах алба болон Гурван тамга ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-03-29,Contract,,,,,ocds-591adf-MN6082722942RC,,
936,Төв аймгийн Заамар сум болон Хос богд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN6661309784RC,,
937,Төв аймгийн Заамар сум болон Нью Пэрл ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN0045103972RC,,
938,Төв аймгийн Заамар сум болон Тод Ундрага ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN5593341356RC,,
939,Төв аймгийн Заамар сум болон Номын хүч ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN7097390566RC,,
940,Төв аймгийн Заамар сум болон Гурван тамга ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN9845177723RC,,
941,Төв аймгийн Заамар сум болон Эрд хул ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN4309946308RC,,
942,Төв аймгийн Заамар сум болон Нью хаппи ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-25,Contract,,,,,ocds-591adf-MN6876743656RC,,
943,Төв аймгийн Заамар сум болон Антрацит ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN8438481902RC,,
944,Төв аймгийн Заамар сум болон Монгол майнинг Энд эксплорэйшнХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN4618616591RC,,
945,Төв аймгийн Заамар сум болон Заамар Гоулд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN1892868601RC,,
946,Төв аймгийн Баянчандмань сум болон Монвольфрам ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN7571630262RC,,
947,Төв аймгийн Заамар сум болон Рэдвулкан ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN9725411174RC,,
948,Төв аймгийн Заамар сум болон Эко алт ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN7391862463RC,,
949,Төв аймгийн Заамар сум болон Буд Инвенст ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN3094589731RC,,
950,Төв аймгийн Заамар сум болон Алтан Заамар ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN9867110775RC,,
951,Төв аймгийн Заамар сум болон Мондулаан трейд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN4563809426RC,,
952,Төв аймгийн Заамар сум болон Ялгуун-Эрдэнэ ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN4693486567RC,,
953,Төв аймгийн Заамар сум болон Сонор трейд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN3833792006RC,,
954,Төв аймгийн Заамар сум болон Эс Би Эр ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN9206050271RC,,
955,Төв аймгийн Заамар сум болон Илт гоулд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-03-24,Contract,,,,,ocds-591adf-MN6228583393RC,,
956,"Төв аймгийн Заамар сум болон Уян ган ХХК, Платинумланд ХХК нарын хооронд байгуулсан газар ашиглах гэрээ",,,2017-03-24,Contract,,,,,ocds-591adf-MN5437020097RC,,
957,Дундговь аймам болон Жи Пи Эф ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-03-21,Contract,,,,,ocds-591adf-MN4082595155RC,,
958,"Улсын төсвийн хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Жэй Ти Ти"" ХХК]",,,2017-03-15,Contract,,,,,ocds-591adf-MN9348193225RC,,
959,"Улсын төсвийн хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Очир Ундраа"" ХХК]",,,2017-03-10,Contract,,,,,ocds-591adf-MN0686143244RC,,
960,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Цагаан-Өвөлжөө ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-03-07,Contract,,,,,ocds-591adf-MN2721086400RC,,
961,"Өмнөговь аймаг, Алтайн өвөр говийн сав захиргаа болон Саусгоби Сэндс ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ",,,2017-03-07,Contract,,,,,ocds-591adf-MN2535019752RC,,
962,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх, ажлын  байрыг нэмэгдүүлэх тухай гэрээ",,,2017-03-01,Contract,,,,,ocds-591adf-MN1348947487RC,,
963,Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [Гурвантамга ХХК],,,2017-02-24,Contract,,,,,ocds-591adf-MN6979765646RC,,
964,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Эко Алт"" ХХК]",,,2017-02-24,Contract,,,,,ocds-591adf-MN8308214486RC,,
965,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Э-Транс"" ХХК]",,,2017-02-24,Contract,,,,,ocds-591adf-MN1022146976RC,,
966,"Эрлийн ажил гүйцэтгэх гэрээ, Эрдэнэс метан ХХК",,,2017-02-24,Contract,,,"Өмнөговь аймаг, Цогтцэций сумд нүүрсний давхаргын метан хий эрэх",,ocds-591adf-MN8095114926RC,,
967,Хариуцлагын гэрээ [Налайх дүүрэг - Сүмбэрхудаг ХХК],,,2017-02-16,Social Agreement,,,,,ocds-591adf-MN8809205680RC,,
968,Улаанбадрах сум болон Кожеговь ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-02-14,Contract,,,,,ocds-591adf-MN0291249923RC,,
969,Төв аймгийн Заамар сум болон Уул заамар ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 802.19 га,,,2017-02-10,Contract,,,,,ocds-591adf-MN1735198532RC,,
970,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Эх дэлгэр мөрөн"" ХХК]",,,2017-02-09,Contract,,,,,ocds-591adf-MN7654100209RC,,
971,Төв аймгийн Сэргэлэн сум болон Хүдэр Эрдэнэ ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-02-08,Contract,,,,,ocds-591adf-MN6631500715RC,,
972,Туул голын сав газрын захиргааны ус ашиглалтыг зохицуулах алба болон Заамар гоулд ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2017-02-07,Contract,,,,,ocds-591adf-MN8879249735RC,,
973,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 14.64 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN9100205626RC,,
974,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 103.76 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN3985205361RC,,
975,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 166 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN2091393829RC,,
976,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 37.19 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN5898795605RC,,
977,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 39 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN8695014479RC,,
978,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 64.04 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN2534097062RC,,
979,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 9.2 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN3966369477RC,,
980,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 115.94 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN2099691145RC,,
981,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 46.13 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN5990355282RC,,
982,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 125.26 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN0277977635RC,,
983,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 8 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN1683179502RC,,
984,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 8.96 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN9041797180RC,,
985,Төв аймгийн Заамар сум болон Баянгол эко заамар ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-01-31,Contract,,,,,ocds-591adf-MN7177558441RC,,
986,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 4 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN1570082634RC,,
987,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 530.12 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN7441987779RC,,
988,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 369.47 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN0566769652RC,,
989,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 152.53 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN3263653249RC,,
990,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 22.65 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN0394074621RC,,
991,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 451.71 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN9370771584RC,,
992,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-01-31,Contract,,,,,ocds-591adf-MN1898019596RC,,
993,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 24.43 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN1316219199RC,,
994,Төв аймгийн Заамар сум болон Бумбат ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 24 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN7490926491RC,,
995,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 34.43 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN9929311240RC,,
996,Төв аймгийн Заамар сум болон Алтандорнод Монгол ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 37.16 га,,,2017-01-31,Contract,,,,,ocds-591adf-MN5770763070RC,,
997,Хөвсгөл аймаг болон Хөвсгөл геологи ХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-01-23,Contract,,,,,ocds-591adf-MN7955659404RC,,
998,Хөвсгөл аймаг болон Далай гоулд ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-01-23,Contract,,,,,ocds-591adf-MN3050352330RC,,
999,Дорноговь аймгийн Өргөн сум болон Цагаанговь ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2017-01-18,Contract,,,,,ocds-591adf-MN2839940595RC,,
1000,Төв аймгийн Баян-Өнжүүл сум болон  Yao Xue Zuan нарын хооронд байгуулсан газар ашиглах гэрээ,,,2017-01-17,Contract,,,,,ocds-591adf-MN2103543642RC,,
1001,Сэлэнгэ аймгийн Мандал сум болон Бороо гоулд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2017-01-11,Contract,,,,,ocds-591adf-MN1688318972RC,,
1002,Увс аймгийн Бөхмөрөн сумын ЗДТГ болон Эрчим Баян-Өлгий ХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ,,,2017-01-06,Contract,,,,,ocds-591adf-MN5916163967RC,,
1003,"Ус ашиглах гэрээ 2017 он ""Эрчим Баян-Өлгий ХК""",,,2017-01-06,Contract,,,Нүүрст хотгор,,ocds-591adf-MN5916163967RC-1016,,
1004,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 00378,,,2016-12-28,Contract,,,,,ocds-591adf-MN2971049524RC,,
1005,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 0380,,,2016-12-28,Contract,,,,,ocds-591adf-MN8621569944RC,,
1006,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 0386,,,2016-12-28,Contract,,,,,ocds-591adf-MN4349106396RC,,
1007,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 00014,,,2016-12-28,Contract,,,,,ocds-591adf-MN6584039489RC,,
1008,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 00387,,,2016-12-28,Contract,,,,,ocds-591adf-MN8057951489RC,,
1009,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 0389,,,2016-12-28,Contract,,,,,ocds-591adf-MN9596650417RC,,
1010,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 00384,,,2016-12-28,Contract,,,,,ocds-591adf-MN9000065232RC,,
1011,Төв аймгийн Баянцагаан сум болон Монголчёх метал ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2016-11-15,Contract,,,,,ocds-591adf-MN8237895296RC,,
1012,Дорноговь аймгийн Улаанбадрах сум болон Аревамайнз ХХК-ийн хооронд байгуулсан газар ашиглах тухай гэрээ,,,2016-11-11,Contract,,,,,ocds-591adf-MN6948989605RC,,
1013,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Уулс заамар"" ХХК]",,,2016-11-10,Contract,,,,,ocds-591adf-MN8811090987RC,,
1014,Ховд аймгийн Дарви сум болон МоЭнКо ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 1296.31 га,,,2016-11-02,Contract,,,Хөшөөт,,ocds-591adf-MN9937252422RC,,
1015,Ховд аймгийн Дарви сум болон МоЭнКо ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ 176.55 га,,,2016-11-02,Contract,,,,,ocds-591adf-MN8169178659RC,,
1016,Дорноговь аймгийн Сайхандулаан сум болон Вантаже ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2016-10-10,Contract,,,,,ocds-591adf-MN3375172607RC,,
1017,Дорноговь аймгийн Айраг сум болон Тайшаншинь-юань ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2016-10-04,Contract,,,,,ocds-591adf-MN5424612386RC,,
1018,Дорноговь аймгийн Улаанбадрах сум болон Тээлийн шонхор ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2016-10-04,Contract,,,,,ocds-591adf-MN5670150578RC,,
1019,Дорноговь аймгийн Сайхандулаан сум болон Фрийгүүд Эрин ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ,,,2016-09-27,Contract,,,,,ocds-591adf-MN0967407001RC,,
1020,"БОАЖЯ, АМГТГ, МХЕГ, Өвөрхангай аймаг болон Баярсгоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-09-23,Contract,,,Бөөрөлжүүтийн гол - 1,,ocds-591adf-MN1877560801RC,,
1021,"БОАЖЯ, АМГ, МХЕГ, Төв, Булган  аймаг болон Наран Гоулд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-09-20,Contract,,,Ар тамсаг Алтны шороон орд,,ocds-591adf-MN8478010977RC,,
1022,Бичил уурхайгаар ашигт малтмал олборлох  тухай гэрээ,,,2016-09-20,Contract,,,Сэнжит нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN7216961867RC,,
1023,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 00010,,,2016-09-19,Contract,,,,,ocds-591adf-MN1642144341RC,,
1024,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ 009,,,2016-09-19,Contract,,,,,ocds-591adf-MN4108597670RC,,
1025,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2016-09-09,Contract,,,Сэнжит нэртэй газар бичил уурхайгаар алт олборлох,,ocds-591adf-MN1935635556RC,,
1026,"""Эргэл XII"" талбайд газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх талаар Ашигт малтмал, газрын тосны газар ""Смарт ойл инвестмент лтд"" компанийн хооронд байгуулсан бүтээгдэхүүн хуваах гэрээ",,,2016-09-09,Contract,,,,,ocds-591adf-MN3815034117RC,,
1027,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2016-08-31,Contract,,,Цагаан бяруут нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN8843117891RC,,
1028,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2016-08-18,Contract,,,бичил уурхайгаар алт олборлох,,ocds-591adf-MN8469480523RC,,
1029,"Дорнод аймгийн Матад сум, Петрочайна Дачин Тамсаг компаний хооронд байгуулсан Байгаль орчныг хамгаалах, орон нутгийн хөгжилд дэмжлэг үзүүлэх гэрээ",,,2016-08-18,Contract,,,Газрын тосны 19-р талбай,,ocds-591adf-MN5301202196RC,,
1030,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2016-08-16,Contract,,,Бургасан худаг нэртэй газарт бичил уурхайгаар алт олборлох,,ocds-591adf-MN5818848848RC,,
1031,"БОНХАЖЯ, АМГ, МХЕГ, Сэлэнгэ аймаг болон Морьтхангай ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-29,Contract,,,Ерөө-Хэрээн голын орд,,ocds-591adf-MN0701959833RC,,
1032,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Арголд"" ХХК]",,,2016-07-22,Contract,,,,,ocds-591adf-MN9955368208RC,,
1033,"БОНХАЖЯ, АМГ, МХЕГ, Сэлэнгэ   аймаг болон Барилга-Орд ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-21,Contract,,,Хүйтний голын алт шороон орд,,ocds-591adf-MN2286489600RC,,
1034,"БОНХАЖЯ, АМГ, МХЕГ, Баянхонгор аймаг болон Ти Энд Ти Юникс ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-18,Contract,,,Алтны шороон орд,,ocds-591adf-MN7736998118RC,,
1035,"БОНХАЖЯ, АМГ, МХЕГ, Архангай  аймаг болон БМНС ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-18,Contract,,,Өлзийт Тээл алтны шороон орд ашиглах,,ocds-591adf-MN0115798948RC,,
1036,"БОНХАЖЯ, АМГ, МХЕГ, Сэлэнгэ   аймаг болон Алтай констракшн ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-08,Contract,,,,,ocds-591adf-MN5408633979RC,,
1037,"БОНХАЖЯ, АМГ, МХЕГ,Төв  аймгийн Заамар сум болон Жотойн бажууна ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-07-07,Contract,,,,,ocds-591adf-MN1404253286RC,,
1038,"Хэнтий аймгийн Ус, цаг уур орчны шинжилгээний алба болон Дацан трейд ХХК-ийн хооронд байгуулсан хамтран ажиллах гэрээ",,,2016-07-01,Contract,,,,,ocds-591adf-MN7677798911RC,,
1039,Хэнтий аймгийн Норовлин сум болон Дацан-трейд ХХК-ийн хооронд байгуулсан газар ашиглах гэрээ,,,2016-06-27,Contract,,,,,ocds-591adf-MN2233916526RC,,
1040,"БОНХАЖЯ, АМГ, МХЕГ,Дорнод аймаг болон Хөөсгөл ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-06-22,Contract,,,,,ocds-591adf-MN1016592439RC,,
1041,"БОНХАЖЯ, АМГ, МХЕГ,Дархан-Уул аймаг болон Гуравт ХХК-ийн хооронд байгуулсан нөхөн сэргээх үйл ажиллагааны гэрээ",,,2016-06-22,Contract,,,,,ocds-591adf-MN2292053905RC,,
1042,Хэрлэн голын сав газрын захиргаа болон Дацантрейд ХХК-ийн хооронд байгуулсан ус ашиглах гэрээ,,,2016-06-21,Contract,,,,,ocds-591adf-MN1606470904RC,,
1043,"Булган аймгийн Дашинчилэн сумын ЗДТГ, Бэрхийн нурамт ХХК-ийн хооронд байгуулсан 2016 оны Нийгмийн хариуцлагын гэрээ",,,2016-06-21,Contract,,,,,ocds-591adf-MN3367967869RC,,
1044,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Гокбулган-Уул"" ХХК]",,,2016-06-17,Contract,,,,,ocds-591adf-MN4716712845RC,,
1045,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Ди Жи Ти энд Эм"" ХХК]",,,2016-06-17,Contract,,,,,ocds-591adf-MN5637558382RC,,
1046,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай [""Нордвинд"" ХХК]",,,2016-06-08,Contract,,,,,ocds-591adf-MN2343957215RC,,
1047,Бичил уурхайгаар ашигт малтмал олборлох тухай гэрээ,,,2016-06-07,Contract,,,,,ocds-591adf-MN7678911391RC,,
1048,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Оргил моунт"" ХХК]",,Other,2016-06-06,Contract,,,"Мандал, Тэгшийн алтны шороон  орд",,ocds-591adf-MN7903098463RC,,
1049,"Улсын төсвөөс хайгуулын ажилд гарсан зардлыг нөхөн төлөх тухай гэрээ [""Антрацит"" ХХК]",,,2016-05-27,Contract,,,,,ocds-591adf-MN9601579110RC,,
1050,Иргэн хуулийн этгээдэд газар ашиглуулах гэрээ,,Land Lease Agreement,2016-05-16,Contract,,,,,ocds-591adf-MN5419245124RC,,
1051,Говь-Алтай аймгийн Цээл сум болон Алтайн хүдэр ХХК-ийн хооронд байгуулсан газар ашиглуулах гэрээ/00007/38-16,,,2016-05-10,Contract,,,,,ocds-591adf-MN1532223799RC,,
