#,Гэрээний нэр,Эрдсийн төрөл,Гэрээний төрөл,Гэрээ байгуулсан огноо,Баримт бичгийн төрөл,Гэрээ байгуулсан төрийн байгууллага,Компанийн нэр,Төслийн нэр,Гэрээний файл,OCID,Аннотацийн текст,Метадата текст
277,Хамтын ажиллагааны гэрээ,,,2022-03-28,Model Contract,,,,,ocds-591adf-MN4328596678RC,,
278,Нийгмийн хариуцлагын гэрээ,,Localcooperation agreement,2022-03-04,Contract,,,,,ocds-591adf-MN5054553566RC,,
279,"БАЙГАЛЬ ОРЧНЫГ ХАМГААЛАХ, УУРХАЙ АШИГЛАХ, ҮЙЛДВЭР БАЙГУУЛАХТАЙ ХОЛБОГДСОН ДЭД БҮТЦИЙГ ХӨГЖҮҮЛЭХ, АЖЛЫН БАЙР НЭМЭГДҮҮЛЭХ ТУХАЙ ГЭРЭЭ",,,2022-03-01,Social Agreement,,,Цагаан овоот уул,,ocds-591adf-MN9756011643RC,,
280,"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 3",,Development agreement,2022-01-28,Contract,,,,,ocds-591adf-MN3993712738RC-1143,,
281,"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын ажлын гүйцэтгэгчидтэй байгуулах Ерөнхий гэрээ",,,2022-01-28,Contract,,,,,ocds-591adf-MN3993712738RC,,
282,"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 2",,Development agreement,2022-01-28,Contract,,,,,ocds-591adf-MN3993712738RC-1142,,
283,"""Загийн усны хоолой"" гүний усны ордоос ""Эрдэнэс Тавантолгой"" ХК-ийн нүүрсний уурхай хүртэлх ус хангамжийн шугам хоолойн барилга угсралтын Ажил гүйцэтгэх гэрээ - 1",,,2022-01-28,Contract,,,,,ocds-591adf-MN3993712738RC-1141,,
284,"Байгаль орчныг хамгаалах, уурхай ашиглах, үйлдвэр байгуулахтай холбогдсон дэд бүтцийг хөгжүүлэх ажлын байр нэмэгдүүлэхтэй холбоотой нийгмийн хариуцлагын гэрээ",,,2021-11-24,Contract,,,,,ocds-591adf-MN0688546318RC,,
285,"ОРХОН АЙМАГ, “ЭРДЭНЭТ ҮЙЛДВЭР” ТӨҮГ-ЫН  2022 ОНЫ ХАМТЫН АЖИЛЛАГААНЫ ТӨЛӨВЛӨГӨӨ",,Localcooperation agreement,2021-11-19,Contract,,,,,ocds-591adf-MN8217824899RC-1131,,
286,"Орхон аймаг, ""Эрдэнэт үйлдвэр"" ТӨҮГ-ын хамтран ажиллах гэрээ",,,2021-11-19,Contract,,,,,ocds-591adf-MN8217824899RC,,
